mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
20	20	1/2	1/2	3/4	4	1		#viio6/iv	F	vi		#viio6/iv	#vii	o	6		iv			o	0	1	1, -2, 4		4	1
21	21	0	0	3/4	4	1		iv	F	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
21	21	1/2	1/2	3/4	4	1		iio6	F	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
22	22	0	0	3/4	4	1		VI6	F	vi		VI6	VI		6					M	0	1	0, -3, -4		-4	0
22	22	1/4	1/4	3/4	4	1		i	F	vi		i	i							m	0	1	0, -3, 1		0	0
22	22	1/2	1/2	3/4	4	1		I.I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
23	23	0	0	3/4	4	1		ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
23	23	1/4	1/4	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
24	24	0	0	3/4	4	1		I65	F	I		I65	I		65					Mm7	0	0	4, 1, -2, 0		0	4
24	24	1/4	1/4	3/4	4	1		vi.i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
24	24	1/2	1/2	3/4	4	1		i	F	vi		i	i							m	0	1	0, -3, 1		0	0
25	25	0	0	3/4	4	1		ii%65	F	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
25	25	1/4	1/4	3/4	4	1		V	F	vi		V	V							M	0	1	1, 5, 2		1	1
26	26	0	0	3/4	4	1		i|PAC}{	F	vi		i	i					PAC	}{	m	0	1	0, -3, 1		0	0
26	26	1/4	1/4	3/4	4	1		I.IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
26	26	1/2	1/2	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
27	27	0	0	3/4	4	1		V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	27	1/4	1/4	3/4	4	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
27	27	1/2	1/2	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	28	0	0	3/4	4	1		ii6(2)	F	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
28	28	1/4	1/4	3/4	4	1		V6/V	F	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
29	29	0	0	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
29	29	1/2	1/2	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	30	0	0	3/4	4	1		IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
30	30	1/4	1/4	3/4	4	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	30	1/2	1/2	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
31	31	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	1/4	1/4	3/4	4	1		bVI	F	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
31	31	1/2	1/2	3/4	4	1		i6	F	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
32	32	0	0	3/4	4	1		ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
32	32	1/4	1/4	3/4	4	1		V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
32	32	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
33	33	0	0	3/4	4	1		i|PAC}	F	I		i	i					PAC	}	m	0	0	0, -3, 1		0	0
33	33	1/4	1/4	3/4	4	1		{	F	I									{		0	0				
33	33	1/2	1/2	3/4	4	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
34	34	0	0	3/4	4	1		IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
34	34	1/4	1/4	3/4	4	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
34	34	1/2	1/2	3/4	4	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
35	35	0	0	3/4	4	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	35	1/4	1/4	3/4	4	1		bVI	F	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
35	35	1/2	1/2	3/4	4	1		i6	F	I		i6	i		6					m	0	0	-3, 1, 0		0	-3
36	36	0	0	3/4	4	1		ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
36	36	1/4	1/4	3/4	4	1		V(4)	F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
36	36	1/2	1/2	3/4	4	1		V	F	I		V	V							M	0	0	1, 5, 2		1	1
37	37	0	0	3/4	4	1		I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
