mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
11	11	0	0	4/4	4	1	i|PAC}	above	d	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
11	11	1/4	1/4	4/4	4	1	i.V{	above	d	i		V	V						{	M	1	1	1, 5, 2		1	1
11	11	1/2	1/2	4/4	4	1	#VIM7	above	d	i		#VIM7	#VI	M	7					MM7	1	1	3, 7, 4, 8		3	3
11	11	3/4	3/4	4/4	4	1	#viio	above	d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
12	12	0	0	4/4	4	1	i(4)	above	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
12	12	1/4	1/4	4/4	4	1	i	above	d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	1/2	1/2	4/4	4	1	iv(7)	above	d	i		iv(7)	iv			7				m	1	1	-1, -4, 0	-3	-1	-1
12	12	3/4	3/4	4/4	4	1	iv(b6)	above	d	i		iv(b6)	iv			b6				m	1	1	-1, -4, -5		-1	-1
13	13	0	0	4/4	4	1	V(9)	above	d	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
13	13	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
13	13	1/2	1/2	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
13	13	3/4	3/4	4/4	4	1	i{	above	d	i		i	i						{	m	1	1	0, -3, 1		0	0
14	14	0	0	4/4	4	1	IV(9)	above	d	i		IV(9)	IV			9				M	1	1	-1, 3, 0	1	-1	-1
14	14	1/4	1/4	4/4	4	1	IV	above	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
14	14	1/2	1/2	4/4	4	1	V7	above	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	3/4	3/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
15	15	0	0	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
15	15	1/4	1/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
15	15	1/2	1/2	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
15	15	3/4	3/4	4/4	4	1	i(+6){	above	d	i		i(+6)	i			+6			{	m	1	1	0, -3, 1	-4	0	0
16	16	0	0	4/4	4	1	v(2)	above	d	i		v(2)	v			2				m	1	1	-4, -2, 2		1	-4
16	16	1/4	1/4	4/4	4	1	v6	above	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
16	16	1/2	1/2	4/4	4	1	VI(7)	above	d	i		VI(7)	VI			7				M	1	1	-4, 0, -3	1	-4	-4
16	16	3/4	3/4	4/4	4	1	VI(6)	above	d	i		VI(6)	VI			6				M	1	1	-4, 0, -1		-4	-4
17	17	0	0	4/4	4	1	V7|HC	above	d	i		V7	V		7			HC		Mm7	1	1	1, 5, 2, -1		1	1
17	17	1/4	1/4	4/4	4	1	V(64)	above	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
17	17	1/2	1/2	4/4	4	1	V(4)	above	d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
17	17	3/4	3/4	4/4	4	1	V	above	d	i		V	V							M	1	1	1, 5, 2		1	1
18	18	0	0	4/4	4	1	i|PAC}	above	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
