mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
5	5	1/4	1/8		1/8	1		4	76	1	1	
5	5	3/8	1/8		1/8	1		6	78	1	1	
5	5	1/2	1/4		1/4	1		5	59	3	1	
5	5	1/2	1/4		1/4	1		5	59	4	1	
5	5	1/2	1/4		1/4	1		6	66	2	1	
5	5	1/2	1/8		1/8	1		7	73	1	1	
5	5	5/8	1/8		1/8	1		6	78	1	1	
5	5	3/4	1/4		1/4	1	1	2	62	3	1	
5	5	3/4	1/4		1/4	1	1	2	62	4	1	
5	5	3/4	1/8		1/8	1		2	74	1	1	
5	5	3/4	1/4		1/4	1		2	74	2	1	
5	5	7/8	1/8		1/8	1		5	71	1	1	
5	5	1	1/8		1/8	1		2	74	1	1	
5	5	9/8	1/8		1/8	1		6	78	1	1	
5	5	5/4	1/8		1/8	1		2	74	1	1	
5	5	11/8	1/8		1/8	1		6	78	1	1	
6	6	0	1/4		1/4	1	-1	2	62	3	1	
6	6	0	1/4		1/4	1	-1	2	62	4	1	
6	6	0	1/4		1/4	1		4	76	2	1	
6	6	0	1/8		1/8	1		1	79	1	1	
6	6	1/8	1/8		1/8	1		4	76	1	1	
6	6	1/4	1/4		1/4	1		7	61	3	1	
6	6	1/4	1/4		1/4	1		7	61	4	1	
6	6	1/4	1/4		1/4	1		4	76	2	1	
6	6	1/4	1/8		1/8	1		1	79	1	1	
6	6	3/8	1/8		1/8	1		3	81	1	1	
6	6	1/2	1/2		1/2	1		2	62	3	1	
6	6	1/2	1/2		1/2	1		2	62	4	1	
6	6	1/2	1/2		1/2	1		3	69	2	1	
6	6	1/2	1/8		1/8	1		4	76	1	1	
6	6	5/8	1/8		1/8	1		3	81	1	1	
6	6	3/4	1/8		1/8	1		6	78	1	1	
6	6	7/8	1/8		1/8	1		2	74	1	1	
6	6	1	1/8		1/8	1		6	78	1	1	
6	6	9/8	1/8		1/8	1		3	81	1	1	
6	6	5/4	1/8		1/8	1		6	78	1	1	
6	6	11/8	1/8		1/8	1		3	81	1	1	
7	7	0	1/2		1/2	1		9	63	3	1	
7	7	0	1/2		1/2	1		9	63	4	1	
7	7	0	1/4		1/4	1		6	78	2	1	
7	7	0	1/8		1/8	1		5	83	1	1	
7	7	1/8	1/8		1/8	1		6	78	1	1	
7	7	1/4	1/4		1/4	1		6	78	2	1	
7	7	1/4	1/8		1/8	1		5	83	1	1	
7	7	3/8	1/8		1/8	1		5	83	1	1	
7	7	1/2	1/4		1/4	1		4	52	3	1	
7	7	1/2	1/4		1/4	1		4	52	4	1	
7	7	1/2	1/4		1/4	1		5	71	2	1	
7	7	1/2	1/8		1/8	1		6	78	1	1	
7	7	5/8	1/8		1/8	1		5	83	1	1	
7	7	3/4	1/4		1/4	1		6	54	3	1	
7	7	3/4	1/4		1/4	1		6	54	4	1	
7	7	3/4	1/4		1/4	1		10	70	2	1	
7	7	3/4	3/8		1/4	3/2		1	79	1	1	
7	7	9/8	3/8		1/4	3/2		6	78	1	1	
8	8	0	1/2		1/2	1		1	55	3	1	
8	8	0	1/2		1/2	1		1	55	4	1	
8	8	0	1/2		1/2	1		5	71	2	1	
8	8	0	1/8		1/8	1		6	78	1	1	
8	8	1/8	1/8		1/8	1		4	76	1	1	
8	8	1/4	1/8		1/8	1		2	74	1	1	
8	8	3/8	1/4		1/4	1		4	76	1	1	
8	8	1/2	1/2		1/2	1		6	54	3	1	
8	8	1/2	1/2		1/2	1		6	54	4	1	
8	8	1/2	1/2		1/2	1		10	70	2	1	
8	8	5/8	1/8		1/8	1		6	78	1	1	
8	8	3/4	3/4		1/2	3/2		6	78	1	1	
9	9	0	1/2		1/2	1		2	62	3	1	
9	9	0	1/2		1/2	1		2	62	4	1	
9	9	0	1/2		1/2	1		6	78	2	1	
9	9	0	1/8		1/8	1		3	81	1	1	
9	9	1/8	1/8		1/8	1		6	78	1	1	
9	9	1/4	1/8		1/8	1		1	79	1	1	
9	9	3/8	1/8		1/8	1		3	81	1	1	
9	9	1/2	1/4		1/4	1		7	61	3	1	
9	9	1/2	1/4		1/4	1		7	61	4	1	
9	9	1/2	1/4		1/4	1		4	76	2	1	
9	9	1/2	1/8		1/8	1		6	78	1	1	
9	9	5/8	1/8		1/8	1		1	79	1	1	
9	9	3/4	1/4		1/4	1		3	57	3	1	
9	9	3/4	1/4		1/4	1		3	57	4	1	
9	9	3/4	1/4		1/4	1		7	73	2	1	
9	9	3/4	1/8		1/8	1		3	81	1	1	
9	9	7/8	1/8		1/8	1		4	76	1	1	
9	9	1	1/8		1/8	1		3	81	1	1	
9	9	9/8	1/8		1/8	1		3	81	1	1	
9	9	5/4	1/8		1/8	1		4	76	1	1	
9	9	11/8	1/8		1/8	1		3	81	1	1	
10	10	0	1/4		1/4	1		2	62	3	1	
10	10	0	1/4		1/4	1		2	62	4	1	
10	10	0	1/4		1/4	1		3	69	2	1	
10	10	0	1/8		1/8	1		6	78	1	1	
10	10	1/8	1/8		1/8	1		3	81	1	1	
10	10	1/4	1/8		1/8	1		6	78	1	1	
10	10	3/8	1/8		1/8	1		2	74	1	1	
10	10	1/2	1/2		1/2	1		4	64	3	1	
10	10	1/2	1/2		1/2	1		4	64	4	1	
10	10	1/2	1/2		1/2	1		1	79	2	1	
10	10	1/2	1/8		1/8	1		3	81	1	1	
10	10	5/8	1/8		1/8	1		6	78	1	1	
10	10	3/4	1/8		1/8	1		5	83	1	1	
10	10	7/8	1/8		1/8	1		1	79	1	1	
10	10	1	1/8		1/8	1		3	81	1	1	
10	10	9/8	1/8		1/8	1		5	83	1	1	
10	10	5/4	1/8		1/8	1		1	79	1	1	
10	10	11/8	1/8		1/8	1		3	81	1	1	
11	11	0	1/4		1/4	1		9	63	3	1	
11	11	0	1/4		1/4	1		9	63	4	1	
11	11	0	1/4		1/4	1		6	78	2	1	
11	11	0	1/8		1/8	1		5	83	1	1	
11	11	1/8	1/8		1/8	1		6	78	1	1	
11	11	1/4	1/4		1/4	1		5	59	3	1	
11	11	1/4	1/4		1/4	1		5	59	4	1	
11	11	1/4	1/4		1/4	1		9	75	2	1	
11	11	1/4	1/8		1/8	1		5	83	1	1	
11	11	3/8	1/8		1/8	1		5	83	1	1	
11	11	1/2	1/4		1/4	1		4	64	3	1	
11	11	1/2	1/4		1/4	1		4	64	4	1	
11	11	1/2	1/4		1/4	1		5	71	2	1	
11	11	1/2	1/8		1/8	1		6	78	1	1	
11	11	5/8	1/8		1/8	1		5	83	1	1	
11	11	3/4	1/8		1/8	1		1	79	1	1	
11	11	7/8	1/8		1/8	1		5	83	1	1	
11	11	1	1/8		1/8	1		1	79	1	1	
11	11	9/8	1/8		1/8	1		4	76	1	1	
11	11	5/4	1/8		1/8	1		1	79	1	1	
11	11	11/8	1/8		1/8	1		4	76	1	1	
12	12	0	1/2		1/2	1		3	57	3	1	
12	12	0	1/2		1/2	1		3	57	4	1	
12	12	0	1/8		1/8	1		0	72	1	1	
12	12	0	1/4		1/4	1		4	76	2	1	
12	12	1/8	1/8		1/8	1		4	76	1	1	
12	12	1/4	1/8		1/8	1		0	72	1	1	
12	12	1/4	1/4		1/4	1		0	72	2	1	
12	12	3/8	1/8		1/8	1		3	69	1	1	
12	12	1/2	1/4		1/4	1		5	59	3	1	
12	12	1/2	1/4		1/4	1		5	59	4	1	
12	12	1/2	1/4		1/4	1		6	66	2	1	
12	12	1/2	1/8		1/8	1		6	78	1	1	
12	12	5/8	1/8		1/8	1		4	76	1	1	
12	12	3/4	1/4		1/4	1		1	55	3	1	
12	12	3/4	1/4		1/4	1		1	55	4	1	
12	12	3/4	1/4		1/4	1		5	71	2	1	
12	12	3/4	1/8		1/8	1		9	75	1	1	
12	12	7/8	1/8		1/8	1		0	72	1	1	
12	12	1	1/8		1/8	1		5	71	1	1	
12	12	9/8	1/8		1/8	1		4	76	1	1	
12	12	5/4	1/8		1/8	1		5	71	1	1	
12	12	11/8	1/8		1/8	1		4	76	1	1	
13	13	0	1/4		1/4	1		3	57	3	1	
13	13	0	1/4		1/4	1		3	57	4	1	
13	13	0	1/2		1/2	1		3	69	2	1	
13	13	0	1/8		1/8	1		7	73	1	1	
13	13	1/8	1/8		1/8	1		9	75	1	1	
13	13	1/4	1/4		1/4	1		5	59	3	1	
13	13	1/4	1/4		1/4	1		5	59	4	1	
13	13	1/4	1/8		1/8	1		4	76	1	1	
13	13	3/8	1/8		1/8	1		6	66	1	1	
13	13	1/2	1/2		1/2	1		4	52	3	1	
13	13	1/2	1/2		1/2	1		4	52	4	1	
13	13	1/2	1/2		1/2	1		1	67	2	1	
13	13	1/2	1/8		1/8	1		4	76	1	1	
13	13	5/8	1/8		1/8	1		9	75	1	1	
13	13	3/4	1/8		1/8	1		4	64	1	1	
13	13	7/8	1/8		1/8	1		4	76	1	1	
13	13	1	1/8		1/8	1		6	78	1	1	
13	13	9/8	1/8		1/8	1		1	79	1	1	
13	13	5/4	1/8		1/8	1		4	76	1	1	
13	13	11/8	1/8		1/8	1		6	78	1	1	
14	14	0	1/2		1/2	1		7	49	3	1	
14	14	0	1/2		1/2	1		7	49	4	1	
14	14	0	1/2		1/2	1		4	76	2	1	
14	14	0	1/8		1/8	1		1	79	1	1	
14	14	1/8	1/8		1/8	1		5	83	1	1	
14	14	1/4	1/8		1/8	1		1	79	1	1	
14	14	3/8	1/8		1/8	1		4	76	1	1	
14	14	1/2	1/2		1/2	1		2	50	3	1	
14	14	1/2	1/2		1/2	1		2	50	4	1	
14	14	1/2	1/2		1/2	1		3	69	2	1	
14	14	1/2	1/8		1/8	1		3	81	1	1	
14	14	5/8	1/8		1/8	1		4	76	1	1	
14	14	3/4	1/8		1/8	1		6	78	1	1	
14	14	7/8	1/8		1/8	1		2	74	1	1	
14	14	1	1/8		1/8	1		4	76	1	1	
14	14	9/8	1/8		1/8	1		6	78	1	1	
14	14	5/4	1/8		1/8	1		2	74	1	1	
14	14	11/8	1/8		1/8	1		4	76	1	1	
15	15	0	1/2		1/2	1		10	46	3	1	
15	15	0	1/2		1/2	1		10	46	4	1	
15	15	0	1/2		1/2	1		7	73	2	1	
15	15	0	1/8		1/8	1		6	78	1	1	
15	15	1/8	1/8		1/8	1		1	79	1	1	
15	15	1/4	1/8		1/8	1		6	78	1	1	
15	15	3/8	1/8		1/8	1		7	73	1	1	
15	15	1/2	1/4		1/4	1		5	47	3	1	
15	15	1/2	1/4		1/4	1		5	47	4	1	
15	15	1/2	1/4		1/4	1		6	66	2	1	
15	15	1/2	1/8		1/8	1		6	78	1	1	
15	15	5/8	1/8		1/8	1		4	76	1	1	
15	15	3/4	1/4		1/4	1		5	59	3	1	
15	15	3/4	1/4		1/4	1		5	59	4	1	
15	15	3/4	1/8		1/8	1		2	74	1	1	
15	15	3/4	1/4		1/4	1		6	78	2	1	
15	15	7/8	1/8		1/8	1		6	78	1	1	
15	15	1	1/8		1/8	1		2	74	1	1	
15	15	9/8	1/8		1/8	1		5	71	1	1	
15	15	5/4	1/8		1/8	1		2	74	1	1	
15	15	11/8	1/8		1/8	1		5	71	1	1	
16	16	0	1/4		1/4	1		4	52	3	1	
16	16	0	1/4		1/4	1		4	52	4	1	
16	16	0	1/8		1/8	1		0	72	1	1	
16	16	0	1/4		1/4	1		1	79	2	1	
16	16	1/8	1/8		1/8	1		4	76	1	1	
16	16	1/4	1/4		1/4	1		6	54	3	1	
16	16	1/4	1/4		1/4	1		6	54	4	1	
16	16	1/4	1/8		1/8	1		0	72	1	1	
16	16	1/4	1/4		1/4	1		6	78	2	1	
16	16	3/8	1/8		1/8	1		10	70	1	1	
16	16	1/2	1/4		1/4	1		1	55	3	1	
16	16	1/2	1/4		1/4	1		1	55	4	1	
16	16	1/2	1/4		1/4	1		5	71	2	1	
16	16	1/2	1/8		1/8	1		4	76	1	1	
16	16	5/8	1/8		1/8	1		6	78	1	1	
16	16	3/4	1/4		1/4	1		2	50	3	1	
16	16	3/4	1/4		1/4	1		2	50	4	1	
16	16	3/4	1/8		1/8	1		2	74	1	1	
16	16	3/4	1/4		1/4	1		2	74	2	1	
16	16	7/8	1/8		1/8	1		5	71	1	1	
16	16	1	1/8		1/8	1		2	74	1	1	
16	16	9/8	1/8		1/8	1		6	78	1	1	
16	16	5/4	1/8		1/8	1		5	83	1	1	
16	16	11/8	1/8		1/8	1		6	78	1	1	
17	17	0	1/4		1/4	1		4	52	3	1	
17	17	0	1/4		1/4	1		4	52	4	1	
17	17	0	1/4		1/4	1		7	73	2	1	
17	17	0	1/8		1/8	1		8	80	1	1	
17	17	1/8	1/8		1/8	1		10	82	1	1	
17	17	1/4	1/4		1/4	1		6	54	3	1	
17	17	1/4	1/4		1/4	1		6	54	4	1	
17	17	1/4	1/8		1/8	1		5	83	1	1	
17	17	3/8	1/8		1/8	1		7	73	1	1	
17	17	3/8	1/8		1/8	1		6	78	2	1	
17	17	1/2	1/4		1/4	1		5	47	3	1	
17	17	1/2	1/4		1/4	1		5	47	4	1	
17	17	1/2	1/4		1/4	1		2	74	2	1	
17	17	1/2	1/8		1/8	1		5	83	1	1	
17	17	5/8	1/8		1/8	1		10	82	1	1	
17	17	3/4	1/4		1/4	1		2	50	3	1	
17	17	3/4	1/4		1/4	1		2	50	4	1	
17	17	3/4	1/8		1/8	1		5	71	1	1	
17	17	7/8	1/8		1/8	1		2	74	1	1	
17	17	7/8	1/8		1/8	1		2	74	2	1	
17	17	1	1/8		1/8	1		5	71	1	1	
17	17	9/8	1/8		1/8	1		6	66	1	1	
17	17	5/4	1/8		1/8	1		5	71	1	1	
17	17	11/8	1/8		1/8	1		6	66	1	1	
18	18	0	1/4		1/4	1		4	52	3	1	
18	18	0	1/4		1/4	1		4	52	4	1	
18	18	0	1/8		1/8	1		1	67	1	1	
18	18	0	1/4		1/4	1		5	71	2	1	
18	18	1/8	1/8		1/8	1		5	71	1	1	
18	18	1/4	1/4		1/4	1		6	54	3	1	
18	18	1/4	1/4		1/4	1		6	54	4	1	
18	18	1/4	1/8		1/8	1		1	67	1	1	
18	18	3/8	1/8		1/8	1		6	66	1	1	
18	18	3/8	1/8		1/8	1		2	74	2	1	
18	18	1/2	1/4		1/4	1		1	55	3	1	
18	18	1/2	1/4		1/4	1		1	55	4	1	
18	18	1/2	1/8		1/8	1		5	71	1	1	
18	18	1/2	1/4		1/4	1		5	71	2	1	
18	18	5/8	1/8		1/8	1		6	66	1	1	
18	18	3/4	1/4		1/4	1		2	50	3	1	
18	18	3/4	1/4		1/4	1		2	50	4	1	
18	18	3/4	1/8		1/8	1		4	64	1	1	
18	18	7/8	1/8		1/8	1		5	71	1	1	
18	18	7/8	1/8		1/8	1		2	74	2	1	
18	18	1	1/8		1/8	1		4	64	1	1	
18	18	9/8	1/8		1/8	1		6	66	1	1	
18	18	5/4	1/8		1/8	1		5	71	1	1	
18	18	11/8	1/8		1/8	1		6	66	1	1	
19	19	0	1/4		1/4	1		4	52	3	1	
19	19	0	1/4		1/4	1		4	52	4	1	
19	19	0	1/8		1/8	1		1	67	1	1	
19	19	0	1/4		1/4	1		5	71	2	1	
19	19	1/8	1/8		1/8	1		5	71	1	1	
19	19	1/4	1/4		1/4	1		6	54	3	1	
19	19	1/4	1/4		1/4	1		6	54	4	1	
19	19	1/4	1/8		1/8	1		1	67	1	1	
19	19	3/8	1/8		1/8	1		6	66	1	1	
19	19	3/8	1/8		1/8	1		6	66	2	1	
19	19	1/2	1/2		1/2	1		5	47	3	1	
19	19	1/2	1/2		1/2	1		5	47	4	1	
19	19	1/2	1/2		1/2	1		2	62	2	1	
19	19	1/2	1/8		1/8	1		5	71	1	1	
19	19	5/8	1/8		1/8	1		10	70	1	1	
19	19	3/4	3/4		1/2	3/2		5	71	1	1	
