mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
6	5	13	13	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	45										
6	5	15	15	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6			
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	46										
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	47										
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	48										
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	49										
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	50										
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	51										
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	52										
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	53										
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	54										
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	55										
7	6	16	16	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	b			
7	6	16	16	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	56										
7	6	17	17	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	#			
7	6	17	17	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	57										
7	6	18	18	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6	5		
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	58										
8	7	19	19	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	59										
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	60										
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	61										
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	62										
8	7	19	19	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	63										
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	64										
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	65										
8	7	19	19	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	66										
8	7	41/2	41/2	0.0	3/8	3/8	FiguredBass	3/4	3	1	0									1/8	6			
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	67										
8	7	21	21	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	b			
8	7	21	21	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	68										
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	69										
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	70										
9	8	23	23	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	71										
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	72										
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	73										
9	8	23	23	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	74										
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	75										
9	8	22	22	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	76										
9	8	23	23	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	#			
9	8	23	23	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	77										
10	9	25	25	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	78										
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	79										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	80										
10	9	25	25	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	81										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	82										
10	9	25	25	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	83										
10	9	27	27	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	84										
11	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	85										
11	10	29	29	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	86										
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	87										
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	88										
11	10	29	29	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	89										
11	10	28	28	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	90										
11	10	29	29	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6			
11	10	29	29	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	91										
12	11	31	31	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	92										
12	11	31	31	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	93										
12	11	31	31	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	94										
13	11	67/2	67/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95										
13	11	67/2	67/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	96										
13	11	67/2	67/2	0.0	1/8	5/8	FiguredBass	3/4	3	1	0									1/8	#			
13	11	67/2	67/2	0.5	1/8	5/8	Chord	3/4	3	1	1/8	1/8	1	97										
14	12	34	34	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	98										
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	99										
14	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	100										
14	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	101										
14	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	102										
14	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103										
14	12	34	34	0.0	0	0	FiguredBass	3/4	3	1	0									3/4	#			
14	12	34	34	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	104										
14	12	36	36	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	105										
15	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	106										
15	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	107										
15	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	108										
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	109										
15	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	110										
15	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	111										
15	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	112										
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	113										
15	13	37	37	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	#			
15	13	37	37	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	114										
15	13	39	39	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	5			
15	13	39	39	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	115										
16	14	40	40	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	116										
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	117										
16	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	118										
16	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	119										
16	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	120										
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	121										
16	14	40	40	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	122										
16	14	42	42	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	b			
16	14	42	42	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	123										
17	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	124										
17	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	125										
17	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	126										
17	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	127										
17	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	128										
17	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	129										
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	130										
17	15	44	44	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	131										
17	15	43	43	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	132										
17	15	44	44	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	6	5	b	
17	15	44	44	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	133										
17	15	45	45	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6			
17	15	45	45	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	134										
18	16	46	46	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	135										
18	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	136										
18	16	48	48	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	137										
18	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	138										
18	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	139										
18	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	140										
18	16	46	46	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	141										
18	16	48	48	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6			
18	16	48	48	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	142										
19	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	143										
19	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	144										
19	17	50	50	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	145										
19	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	146										
19	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	147										
19	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	148										
19	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	149										
19	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	150										
19	17	49	49	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	151										
19	17	51	51	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6	5		
19	17	51	51	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	152										
20	18	52	52	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	153										
20	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	154										
20	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	155										
20	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	156										
20	18	52	52	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	157										
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	158										
20	18	52	52	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	159										
20	18	54	54	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6			
20	18	54	54	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	160										
21	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	161										0
21	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	162										
21	19	56	56	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	163										
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	164										
21	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	165										
21	19	56	56	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	166										
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	167										
21	19	55	55	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6	5		
21	19	55	55	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	168										
21	19	56	56	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	169										
22	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	170										
22	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	171										
22	20	58	58	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	172										
22	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	173										
22	20	58	58	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	174										
22	20	60	60	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6			
22	20	60	60	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	175										
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	176										
23	21	62	62	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	177										
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	178										
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	179										
23	21	62	62	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	180										
23	21	61	61	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	181										
23	21	62	62	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	7	h		
23	21	62	62	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	182										
24	22	64	64	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	183										
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	184										
24	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	185										
24	22	64	64	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	186										
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	187										
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	188										
24	22	64	64	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	189										
24	22	66	66	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	#			
24	22	66	66	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	190										
25	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	191										
25	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	192										
25	23	68	68	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	193										
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	194										
25	23	67	67	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	195										
25	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	196										
25	23	68	68	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	197										
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	198										
25	23	67	67	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6	4+		
25	23	67	67	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	199										
25	23	68	68	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	6			
25	23	68	68	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	200										
26	24	70	70	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	201										
26	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	202										
26	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	203										
26	24	70	70	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	204										
26	24	143/2	143/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	205										
26	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	206										
26	24	70	70	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	6	5		
26	24	70	70	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	207										
26	24	72	72	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	208										
27	25	73	73	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	209										1
27	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	210										
27	25	74	74	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	211										
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	212										
27	25	73	73	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	213										
27	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	214										
27	25	74	74	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	215										
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	216										
27	25	73	73	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	b			
27	25	73	73	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	217										
27	25	74	74	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/2	#			
27	25	74	74	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	218										
28	26	76	76	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	219										
28	26	76	76	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	220										
28	26	76	76	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	221										
